time_sec,raw_dist_cm,lpf_dist_cm,error_cm,e_dot_lpf_cms,s_value,target_distance_cm,state
18.28,11.44,29.89,0.00,0.00,0.00,9.89,0
18.33,12.43,29.89,0.00,0.00,0.00,9.89,0
18.38,12.13,29.89,0.00,0.00,0.00,9.89,0
18.43,11.78,29.89,0.00,0.00,0.00,9.89,0
18.48,12.79,29.89,0.00,0.00,0.00,9.89,0
18.53,12.79,29.89,0.00,0.00,0.00,9.89,0
18.58,12.81,29.89,0.00,0.00,0.00,9.89,0
18.63,12.45,29.89,0.00,0.00,0.00,9.89,0
18.68,12.11,29.89,0.00,0.00,0.00,9.89,0
18.73,13.14,29.89,0.00,0.00,0.00,9.89,0
18.78,13.69,29.89,0.00,0.00,0.00,9.89,0
18.83,14.03,29.89,0.00,0.00,0.00,9.89,0
18.88,13.41,29.89,0.00,0.00,0.00,9.89,0
18.93,14.05,29.89,0.00,0.00,0.00,9.89,0
18.98,13.70,29.89,0.00,0.00,0.00,9.89,0
19.03,14.37,29.89,0.00,0.00,0.00,9.89,0
19.08,14.03,29.89,0.00,0.00,0.00,9.89,0
19.13,14.71,29.89,0.00,0.00,0.00,9.89,0
19.18,14.05,29.89,0.00,0.00,0.00,9.89,0
19.23,15.38,29.89,0.00,0.00,0.00,9.89,0
